18 and above,Female,Smartphone,Always,Google Chrome,Very Important,Yes
18 and above,Male,Smartphone;Computer,Always,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone,Always,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone;Laptop;Tablet,Very Frequently,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone;Tablet,Always,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone,Always,Google Chrome,Very Important,Yes
18 and above,Male,Smartphone,Very Frequently,Google Chrome,Important,Yes
18 and above,Female,Smartphone;Laptop,Always,Google Chrome,Very Important,Yes
14-17,Female,Smartphone,Always,Google Chrome,Very Important,Yes
18 and above,Male,Smartphone;Computer,Very Frequently,Browser,Important,Yes
18 and above,Male,Smartphone;Laptop,Occationally,Google Chrome,Very Important,Yes
14-17,Female,Smartphone,Always,Google Chrome,Important,Yes
18 and above,Female,Smartphone,Always,Google Chrome,Important,Yes
18 and above,Female,Smartphone;Laptop,Always,Google Chrome,Very Important,Yes
18 and above,Male,Laptop,Always,Google Chrome,Very Important,No
18 and above,Female,Smartphone;Laptop,Very Frequently,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone;Laptop,Always,Google Chrome,Very Important,Yes
14-17,Male,Smartphone,Very Frequently,Browser,Important,Yes
18 and above,Male,Smartphone,Always,Google Chrome,Moderately Important,No
14-17,Male,Smartphone,Very Frequently,Google Chrome,Important,No
18 and above,Male,Smartphone,Always,Google Chrome,Very Important,No
14-17,Male,Laptop,Very Frequently,Google Chrome,Of Little Important,No
18 and above,Male,Smartphone;Laptop,Very Frequently,Browser,Important,No
14-17,Female,Smartphone,Always,Google Chrome,Important,Yes
14-17,Female,Smartphone,Always,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone;Laptop,Always,Google Chrome,Very Important,No
14-17,Female,Smartphone,Always,Google Chrome,Very Important,Yes
18 and above,Male,Smartphone;Laptop,Always,Google Chrome,Very Important,Yes
18 and above,Male,Smartphone;Laptop,Always,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone;Laptop,Very Frequently,Google Chrome,Very Important,No
18 and above,Male,Smartphone;Laptop,Always,Browser,Very Important,No
18 and above,Female,Smartphone;Laptop,Always,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone,Very Frequently,Browser,Important,No
18 and above,Male,Smartphone;Laptop,Always,Google Chrome,Very Important,Yes
14-17,Female,Smartphone;Laptop;Computer,Very Frequently,Google Chrome,Very Important,No
18 and above,Male,Smartphone;Computer,Occationally,Google Chrome,Moderately Important,No
18 and above,Female,Smartphone;Laptop,Occationally,Google Chrome,Moderately Important,Yes
14-17,Female,Laptop,Rarely,Google Chrome,Of Little Important,No
18 and above,Female,Smartphone,Very Frequently,Google Chrome,Very Important,Yes
18 and above,Male,Smartphone;Laptop;Computer,Always,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone;Laptop,Always,Google Chrome,Very Important,Yes
18 and above,Male,Smartphone,Rarely,Google Chrome,Of Little Important,No
14-17,Female,Smartphone;Laptop;Computer,Always,Google Chrome,Very Important,Yes
18 and above,Male,Smartphone;Computer,Very Frequently,Google Chrome,Moderately Important,No
18 and above,Male,Smartphone;Laptop;Computer,Always,Google Chrome,Moderately Important,Yes
14-17,Female,Smartphone;Laptop;Computer;Tablet,Always,Google Chrome,Moderately Important,Yes
18 and above,Male,Smartphone;Laptop,Always,Google Chrome,Important,Yes
14-17,Male,Smartphone;Laptop,Very Frequently,Google Chrome,Very Important,No
14-17,Female,Smartphone;Laptop;Computer,Occationally,Google Chrome,Important,No
18 and above,Female,Smartphone;Laptop;Computer,Occationally,Google Chrome,Moderately Important,Yes
14-17,Male,Smartphone;Laptop,Always,Google Chrome,Very Important,No
18 and above,Female,Smartphone;Laptop;Computer,Very Frequently,Google Chrome,Important,Yes
14-17,Female,Smartphone,Always,Google Chrome,Very Important,Yes
14-17,Female,Smartphone;Laptop,Very Frequently,Google Chrome,Very Important,Yes
18 and above,Male,Smartphone;Laptop;Computer,Occationally,Google Chrome,Moderately Important,No
18 and above,Male,Smartphone;Laptop;Computer,Always,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone;Laptop;Tablet,Always,Google Chrome,Important,Yes
14-17,Male,Smartphone;Computer,Rarely,Google Chrome,Moderately Important,No
18 and above,Male,Smartphone;Laptop,Always,Google Chrome,Important,Yes
18 and above,Female,Smartphone;Computer,Occationally,Google Chrome,Important,No
18 and above,Female,Smartphone;Laptop,Always,Google Chrome,Very Important,Yes
18 and above,Male,Smartphone;Laptop;Computer,Always,Google Chrome,Important,Yes
18 and above,Female,Smartphone;Computer,Occationally,Google Chrome,Moderately Important,No
18 and above,Male,Smartphone,Occationally,Google Chrome,Moderately Important,No
18 and above,Male,Smartphone;Laptop,Very Frequently,Google Chrome,Important,Yes
14-17,Female,Smartphone;Laptop,Always,Google Chrome,Very Important,Yes
14-17,Male,Smartphone,Occationally,Google Chrome,Moderately Important,No
14-17,Male,Smartphone;Laptop,Always,Google Chrome,Very Important,Yes
14-17,Male,Smartphone;Laptop;Computer,Always,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone;Laptop;Computer,Always,Google Chrome,Important,Yes
14-17,Male,Smartphone;Computer,Rarely,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone;Laptop,Always,Google Chrome,Very Important,Yes
14-17,Female,Smartphone;Computer,Always,Google Chrome,Very Important,Yes
18 and above,Male,Smartphone,Very Frequently,Google Chrome,Important,No
18 and above,Male,Smartphone;Laptop,Always,Google Chrome,Moderately Important,Yes
14-17,Male,Smartphone,Occationally,Google Chrome,Moderately Important,No
18 and above,Male,Smartphone;Laptop;Computer,Always,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone,Always,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone,Always,Google Chrome,Important,Yes
18 and above,Female,Smartphone;Laptop,Occationally,Google Chrome,Moderately Important,No
14-17,Female,Smartphone;Laptop;Computer;Tablet,Always,Google Chrome,Very Important,Yes
14-17,Male,Smartphone,Rarely,Google Chrome,Of Little Important,No
18 and above,Male,Smartphone,Always,Google Chrome,Very Important,Yes
18 and above,Male,Smartphone;Laptop;Computer;Tablet,Occationally,Google Chrome,Moderately Important,Yes
18 and above,Male,Smartphone;Laptop,Always,Google Chrome,Very Important,Yes
18 and above,Female,Smartphone;Laptop;Computer,Always,Google Chrome,Very Important,Yes
18 and above,Male,Smartphone,Rarely,Google Chrome,Moderately Important,No
18 and above,Male,Smartphone;Computer,Very Frequently,Google Chrome,Very Important,Yes
14-17,Female,Smartphone,Always,Google Chrome,Very Important,Yes
18 and above,Male,Computer,Occationally,Blogs,Important,Yes
18 and above,Male,Tablet,Always,Google Chrome,Very Important,No
14-17,Female,Tablet,Always,Browser,Very Important,No
18 and above,Female,Smartphone,Always,Google Chrome,Very Important,Yes
14-17,Male,Smartphone;Laptop,Very Frequently,Google Chrome,Very Important,Yes
14-17,Female,Smartphone;Laptop;Computer,Always,Google Chrome,Very Important,Yes
14-17,Female,Smartphone;Laptop,Always,Google Chrome,Very Important,Yes
18 and above,Male,Smartphone;Laptop;Computer,Always,Google Chrome,Important,Yes
14-17,Male,Smartphone;Laptop;Computer,Occationally,Google Chrome,Moderately Important,No
18 and above,Female,Smartphone;Laptop,Rarely,Google Chrome,Of Little Important,No
18 and above,Female,Smartphone,Always,Google Chrome,Important,Yes
